context,model,seed,prob_kind,bin,n,mean_pred,observed_rate,p_min,p_max
in_domain,rf,1,raw,4,2696,0.1034087537091988,0.14428783382789317,0.09333333333333334,0.11333333333333333
in_domain,rf,1,raw,5,2696,0.12158011869436201,0.1446587537091988,0.11333333333333333,0.13
in_domain,rf,1,raw,6,2696,0.1408222057368942,0.16431750741839762,0.13,0.15
in_domain,rf,1,raw,7,2696,0.16261251236399604,0.17433234421364985,0.15,0.17666666666666667
in_domain,rf,1,raw,8,2696,0.18992087042532146,0.19881305637982197,0.17666666666666667,0.20666666666666667
in_domain,rf,1,raw,9,2696,0.22809099901088034,0.2166172106824926,0.20666666666666667,0.25333333333333335
in_domain,rf,1,raw,10,2696,0.31544386745796243,0.23405044510385756,0.25333333333333335,0.66
in_domain,rf,1,recal,1,2697,0.041126919749242444,0.061549870226177236,1.0953676908681383e-06,0.058123980769551435
in_domain,rf,1,recal,2,2696,0.07071072361688267,0.09606824925816024,0.058123980769551435,0.08336864521020944
in_domain,rf,1,recal,3,2696,0.09250788744049472,0.125,0.08336864521020944,0.10133236873471115
in_domain,rf,1,recal,4,2696,0.11216156841642021,0.14428783382789317,0.10133236873471115,0.12281426390467792
in_domain,rf,1,recal,5,2696,0.13164552285731643,0.1446587537091988,0.12281426390467792,0.140654011209072
in_domain,rf,1,recal,6,2696,0.15220469439984957,0.16431750741839762,0.140654011209072,0.16198790489561501
in_domain,rf,1,recal,7,2696,0.1753954743798904,0.17433234421364985,0.16198790489561501,0.19030859880995152
in_domain,rf,1,recal,8,2696,0.20432439780434453,0.19881305637982197,0.19030859880995152,0.22200052621394542
in_domain,rf,1,recal,9,2696,0.2445058635389502,0.2166172106824926,0.22200052621394542,0.2709471349854235
in_domain,rf,1,recal,10,2696,0.33511979149551413,0.23405044510385756,0.2709471349854235,0.6801332888103068
in_domain,rf,2,raw,1,2697,0.037692497837102955,0.067853170189099,0.0,0.05333333333333334
in_domain,rf,2,raw,2,2696,0.06511003956478735,0.0956973293768546,0.05333333333333334,0.07666666666666666
in_domain,rf,2,raw,3,2696,0.08454624134520276,0.11943620178041543,0.07666666666666666,0.09333333333333334
in_domain,rf,2,raw,4,2696,0.10250741839762612,0.12945103857566764,0.09333333333333334,0.11
in_domain,rf,2,raw,5,2696,0.12102621167161227,0.14948071216617212,0.11,0.13
in_domain,rf,2,raw,6,2696,0.14061325420375867,0.16060830860534125,0.13,0.15
in_domain,rf,2,raw,7,2696,0.16285979228486647,0.18694362017804153,0.15,0.17333333333333334
in_domain,rf,2,raw,8,2696,0.18997774480712165,0.19770029673590506,0.17333333333333334,0.20666666666666667
in_domain,rf,2,raw,9,2696,0.22806627101879332,0.20956973293768547,0.20666666666666667,0.25333333333333335
in_domain,rf,2,raw,10,2696,0.3153548466864491,0.24295252225519287,0.25333333333333335,0.66
in_domain,rf,2,recal,1,2697,0.04118991984468331,0.067853170189099,1.097176385201542e-06,0.058214369260955974
